Date          Time        Pos Samples   Neg Samples
2015.12.21    12:17:00             98           902
2015.12.21    12:18:47             93           907
2015.12.21    12:20:03             93           907
2015.12.21    12:28:54             94           906
2015.12.21    12:34:47             97           903
2015.12.21    12:49:28             97           903
2015.12.21    13:31:40             96           904
2015.12.21    21:29:26             96           904
2015.12.21    22:05:22             96           904
2015.12.21    22:25:02             96           904
2015.12.21    22:38:28             96           904
2015.12.21    22:39:38             96           904
2015.12.21    22:45:38             96           904
2015.12.21    22:52:22            122           878
2015.12.21    22:54:44            122           878
2015.12.21    23:37:59            122           878
2015.12.21    23:40:32            122           878
2015.12.21    23:44:15            122           878
2015.12.22    03:21:16             12            88
2015.12.22    03:21:48             12            88
2015.12.22    03:23:12             12            88
2015.12.22    03:26:45              8            92
2015.12.22    03:28:30             10            90
2015.12.22    03:30:02             10            90
2015.12.22    03:32:18             10            90
2015.12.22    03:35:53             10            90
2015.12.22    03:38:31             10            90
2015.12.22    03:40:03             10            90
2015.12.22    03:41:29             10            90
2015.12.22    03:42:55             10            90
2015.12.22    03:44:21             10            90
2015.12.22    03:45:47             10            90
2015.12.22    03:47:12             10            90
2015.12.22    03:48:39             10            90
2015.12.22    03:50:04             10            90
2015.12.22    03:51:29             10            90
2015.12.22    03:53:00             10            90
2015.12.22    03:54:25             10            90
2015.12.22    03:55:52             10            90
2015.12.22    03:57:17             10            90
2015.12.22    03:58:44             10            90
2015.12.22    04:00:09             10            90
2015.12.22    04:01:35             10            90
2015.12.22    04:03:00             10            90
2015.12.22    04:04:26             10            90
2015.12.22    04:05:52             10            90
2015.12.22    04:07:18             10            90
2015.12.22    04:08:45             10            90
2015.12.22    04:10:12             10            90
2015.12.22    04:11:38             10            90
2015.12.22    04:13:03             10            90
2015.12.22    04:14:30             10            90
2015.12.22    04:15:56             10            90
2015.12.22    04:17:22             10            90
2015.12.22    04:18:48             10            90
2015.12.22    04:20:14             10            90
2015.12.22    04:21:42             10            90
2015.12.22    04:23:08             10            90
2015.12.22    04:24:33             10            90
2015.12.22    04:25:59             10            90
2015.12.22    04:27:25             10            90
2015.12.22    04:28:53             10            90
2015.12.22    04:30:18             10            90
2015.12.22    04:31:44             10            90
2015.12.22    04:33:09             10            90
2015.12.22    04:34:35             10            90
2015.12.22    04:36:00             10            90
2015.12.22    04:37:25             10            90
2015.12.22    04:38:52             10            90
2015.12.22    04:40:18             10            90
2015.12.22    04:41:43             10            90
2015.12.22    04:43:09             10            90
2015.12.22    04:44:36             10            90
2015.12.22    04:46:01             10            90
2015.12.22    04:47:29             10            90
